metric,source_file,i,j,value,err
density-density correlation function,example.out,0,0,1.50000000000246,0.0
density-density correlation function,example.out,0,1,0.887719403503192,5.615460000447138e-05
density-density correlation function,example.out,0,2,1.00063664624779,1.794208043891662e-06
density-density correlation function,example.out,0,3,0.994851655059298,4.70068385148539e-05
density-density correlation function,example.out,0,4,1.00010092724235,1.48922326845522e-06
density-density correlation function,example.out,1,1,1.00051032922783,4.582108234386618e-06
density-density correlation function,example.out,1,2,0.997922073605221,2.030267018979945e-05
density-density correlation function,example.out,1,3,1.0000998434445,2.528860495547468e-06
density-density correlation function,example.out,1,4,0.998907316559428,1.221352804193204e-05
density-density correlation function,example.out,2,2,1.00011252399124,2.434612970778577e-06
density-density correlation function,example.out,2,3,0.999633814088576,1.130259655110866e-05
density-density correlation function,example.out,2,4,1.00006641829404,1.920185044562544e-06
density-density correlation function,example.out,3,3,1.0000472052271,1.968239476667719e-06
density-density correlation function,example.out,3,4,0.99980835173705,9.286194783192262e-06
density-density correlation function,example.out,4,4,1.00003167266242,1.42331945721523e-06
bond-bond correlation function,example.out,0,0,3.34736715795265,0.0006738552010809476
bond-bond correlation function,example.out,0,1,-0.487411710086392,0.00203853351225331
bond-bond correlation function,example.out,0,2,1.71795606214051,0.001267327874273897
bond-bond correlation function,example.out,0,3,-0.648683872589138,0.002830910519399517
bond-bond correlation function,example.out,0,4,1.70050251945229,0.001713436556354533
bond-bond correlation function,example.out,1,1,1.72163691529472,0.001768172805527668
bond-bond correlation function,example.out,1,2,-0.639224930845281,0.002627397262011907
bond-bond correlation function,example.out,1,3,1.71536174039051,0.001450883861722399
bond-bond correlation function,example.out,1,4,-0.642019165295097,0.002842544193412243
bond-bond correlation function,example.out,2,2,1.71285853593094,0.001636394373890024
bond-bond correlation function,example.out,2,3,-0.640031970390432,0.002781257387095747
bond-bond correlation function,example.out,2,4,1.71165794704268,0.001432584983616904
bond-bond correlation function,example.out,3,3,1.71182295567664,0.001356757820534191
bond-bond correlation function,example.out,3,4,-0.64034200082739,0.002925420230013884
bond-bond correlation function,example.out,4,4,1.71181073070683,0.001588527963787084
bond_allx-bond_allx correlation function,example.out,0,0,2.20901521286938,0.001909826337779001
bond_allx-bond_allx correlation function,example.out,0,1,-0.790772815982014,0.003278538101757508
bond_allx-bond_allx correlation function,example.out,0,2,1.59085663236661,0.00249652368130268
bond_allx-bond_allx correlation function,example.out,0,3,-0.757470868544171,0.003008644570270597
bond_allx-bond_allx correlation function,example.out,0,4,1.59057772657549,0.002736160837833707
bond_allx-bond_allx correlation function,example.out,1,0,-0.565092064693729,0.002271621506055874
bond_allx-bond_allx correlation function,example.out,1,1,1.6017607962009,0.002518981100185383
bond_allx-bond_allx correlation function,example.out,1,2,-0.75760551748016,0.00312257834417434
bond_allx-bond_allx correlation function,example.out,1,3,1.59101075665008,0.002560787615547096
bond_allx-bond_allx correlation function,example.out,1,4,-0.757979987879895,0.003112499009172983
bond_allx-bond_allx correlation function,example.out,2,0,1.59324182552164,0.0022225553043164
bond_allx-bond_allx correlation function,example.out,2,1,-0.754278094557468,0.002992228600870899
bond_allx-bond_allx correlation function,example.out,2,2,1.59172785759805,0.002544663520258961
bond_allx-bond_allx correlation function,example.out,2,3,-0.757670598953891,0.003115529928749444
bond_allx-bond_allx correlation function,example.out,2,4,1.59075470628864,0.00242624472657879
bond_allx-bond_allx correlation function,example.out,3,0,-0.764255436394238,0.002957096990663649
bond_allx-bond_allx correlation function,example.out,3,1,1.59211811229186,0.00251271661775783
bond_allx-bond_allx correlation function,example.out,3,2,-0.756893832332328,0.003048807127404434
bond_allx-bond_allx correlation function,example.out,3,3,1.59120219221176,0.002518379375262612
bond_allx-bond_allx correlation function,example.out,3,4,-0.75746197045035,0.003039430483897456
bond_allx-bond_allx correlation function,example.out,4,0,1.57294779383523,0.002380085321265799
bond_allx-bond_allx correlation function,example.out,4,1,-0.757055464208466,0.002986190171882228
bond_allx-bond_allx correlation function,example.out,4,2,1.59149992905581,0.00252750379130135
bond_allx-bond_allx correlation function,example.out,4,3,-0.757476346455618,0.003111305416157265
bond_allx-bond_allx correlation function,example.out,4,4,1.59142525315819,0.002627632756864517
bond_ally-bond_ally correlation function,example.out,0,0,1.13835194508327,0.001257487655134536
bond_ally-bond_ally correlation function,example.out,0,1,0.06218224306192374,0.000837861780906606
bond_ally-bond_ally correlation function,example.out,0,2,0.125250740134809,0.001438197674489703
bond_ally-bond_ally correlation function,example.out,0,3,0.118229924111124,0.001157221893711369
bond_ally-bond_ally correlation function,example.out,0,4,0.117892813527335,0.001217594404343469
bond_ally-bond_ally correlation function,example.out,1,0,0.318859217441037,0.001822256059604647
bond_ally-bond_ally correlation function,example.out,1,1,0.119876119093821,0.001427514815647773
bond_ally-bond_ally correlation function,example.out,1,2,0.116394648678642,0.0008762325934226103
bond_ally-bond_ally correlation function,example.out,1,3,0.121780028656987,0.001622449733405209
bond_ally-bond_ally correlation function,example.out,1,4,0.115183808627451,0.000997240413441637
bond_ally-bond_ally correlation function,example.out,2,0,0.126562926257966,0.001591153808805981
bond_ally-bond_ally correlation function,example.out,2,1,0.117039101668424,0.00101573763308817
bond_ally-bond_ally correlation function,example.out,2,2,0.121130678332886,0.001632019187947868
bond_ally-bond_ally correlation function,example.out,2,3,0.118647689212948,0.0005837772111224722
bond_ally-bond_ally correlation function,example.out,2,4,0.117997036286098,0.001844677034175559
