metric,source_file,i,j,value,err
bond-bond correlation function,example.out,0,0,3.34736715795265,0.0006738552010809476
bond-bond correlation function,example.out,0,1,-0.487411710086392,0.00203853351225331
bond-bond correlation function,example.out,0,2,1.71795606214051,0.001267327874273897
bond-bond correlation function,example.out,0,3,-0.648683872589138,0.002830910519399517
bond-bond correlation function,example.out,0,4,1.70050251945229,0.001713436556354533
bond-bond correlation function,example.out,1,1,1.72163691529472,0.001768172805527668
bond-bond correlation function,example.out,1,2,-0.639224930845281,0.002627397262011907
bond-bond correlation function,example.out,1,3,1.71536174039051,0.001450883861722399
bond-bond correlation function,example.out,1,4,-0.642019165295097,0.002842544193412243
bond-bond correlation function,example.out,2,2,1.71285853593094,0.001636394373890024
bond-bond correlation function,example.out,2,3,-0.640031970390432,0.002781257387095747
bond-bond correlation function,example.out,2,4,1.71165794704268,0.001432584983616904
bond-bond correlation function,example.out,3,3,1.71182295567664,0.001356757820534191
bond-bond correlation function,example.out,3,4,-0.64034200082739,0.002925420230013884
bond-bond correlation function,example.out,4,4,1.71181073070683,0.001588527963787084
