source_file,metric,i,j,value,err
example.out,bond_ally-bond_ally correlation function,0,0,1.13835194508327,0.001257487655134536
example.out,bond_ally-bond_ally correlation function,0,1,0.06218224306192374,0.000837861780906606
example.out,bond_ally-bond_ally correlation function,0,2,0.125250740134809,0.001438197674489703
example.out,bond_ally-bond_ally correlation function,0,3,0.118229924111124,0.001157221893711369
example.out,bond_ally-bond_ally correlation function,0,4,0.117892813527335,0.001217594404343469
example.out,bond_ally-bond_ally correlation function,1,0,0.318859217441037,0.001822256059604647
example.out,bond_ally-bond_ally correlation function,1,1,0.119876119093821,0.001427514815647773
example.out,bond_ally-bond_ally correlation function,1,2,0.116394648678642,0.0008762325934226103
example.out,bond_ally-bond_ally correlation function,1,3,0.121780028656987,0.001622449733405209
example.out,bond_ally-bond_ally correlation function,1,4,0.115183808627451,0.000997240413441637
example.out,bond_ally-bond_ally correlation function,2,0,0.126562926257966,0.001591153808805981
example.out,bond_ally-bond_ally correlation function,2,1,0.117039101668424,0.00101573763308817
example.out,bond_ally-bond_ally correlation function,2,2,0.121130678332886,0.001632019187947868
example.out,bond_ally-bond_ally correlation function,2,3,0.118647689212948,0.0005837772111224722
example.out,bond_ally-bond_ally correlation function,2,4,0.117997036286098,0.001844677034175559
example.out,bond_ally-bond_ally correlation function,3,0,0.106128635649011,0.0014198101734288
example.out,bond_ally-bond_ally correlation function,3,1,0.1258145831821,0.001273166548061379
example.out,bond_ally-bond_ally correlation function,3,2,0.115852801292407,0.0009410634410557994
example.out,bond_ally-bond_ally correlation function,3,3,0.120620763464883,0.001680068486755649
example.out,bond_ally-bond_ally correlation function,3,4,0.117883444700976,0.0007656737565293678
example.out,bond_ally-bond_ally correlation function,4,0,0.119586704966531,0.001829256188142705
example.out,bond_ally-bond_ally correlation function,4,1,0.115813312870714,0.0009642701928460214
example.out,bond_ally-bond_ally correlation function,4,2,0.123064222454799,0.001666850173675683
example.out,bond_ally-bond_ally correlation function,4,3,0.116370870550212,0.0007790977964545466
example.out,bond_ally-bond_ally correlation function,4,4,0.120385477548638,0.001593950173736953
